districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,274,3695,7.415426251691475,992,28583,3.470594409264248,87.10144493945556,1979.0021367957695,4.401280995102044
Ciutat_Vella,46,566,8.12720848056537,138,2374,5.812973883740522,12.010966801311012,121.06695157036005,9.92092940766799
Eixample,55,156,35.256410256410255,333,4010,8.30423940149626,29.550311538553913,224.64177560734953,13.154415049765625
Sants_Montjuic,32,512,6.25,140,4154,3.370245546461242,10.688222048189642,300.1012632172371,3.5615385065715834
Les_Corts,10,241,4.149377593360995,38,1814,2.0948180815876514,2.847334541500542,124.02458958115528,2.2957822727866346
Sarria_Sant_Gervasi,46,578,7.958477508650519,132,3548,3.720405862457723,10.76532983636698,297.3283400630804,3.6206874306307415
Gracia,88,357,24.649859943977592,256,1671,15.320167564332735,20.700213591777977,112.35069972633644,18.42464145056462
Horta_Guinardo,79,476,16.596638655462183,249,3010,8.272425249169435,22.342152902462203,238.89499886961826,9.352289921588472
Nou_Barris,4,356,1.1235955056179776,22,2164,1.0166358595194085,1.299548996663986,169.63296802504587,0.7660945934000937
Sant_Andreu,9,325,2.769230769230769,40,2232,1.7921146953405016,2.327287730947677,150.1099557177492,1.5503886599791301
Sant_Marti,17,355,4.788732394366197,77,3932,1.9582909460834181,5.983865656478681,257.00163872662773,2.328337549179486
