districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,877,3492,25.11454753722795,3374,19310,17.472812014500256,328.6765804839845,1873.8301855182842,17.54036107562626
Ciutat_Vella,141,517,27.27272727272727,292,1447,20.17968210089841,26.923701891085454,109.24794119097878,24.644585149682158
Eixample,87,140,62.142857142857146,799,2159,37.00787401574803,81.15374179718799,207.55438362316366,39.099989304263964
Sants_Montjuic,59,490,12.040816326530612,208,2907,7.15514275885793,20.109159616021184,284.6973812855034,7.0633454811637675
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,113,548,20.62043795620438,322,2654,12.132629992464206,31.248676231110906,286.6812608650586,10.900146084476624
Gracia,218,337,64.68842729970326,765,1288,59.394409937888206,62.19551430104298,108.13260029331913,57.51781991030661
Horta_Guinardo,230,444,51.80180180180181,751,2233,33.63188535602329,75.38107784137509,228.96481789601998,32.92255925345175
Nou_Barris,59,336,17.559523809523807,199,1603,12.414223331253899,17.058684979920333,162.43614420741625,10.501779061030861
Sant_Andreu,52,308,16.883116883116884,192,1543,12.443292287751134,19.779956670305037,142.16588776340268,13.913293112355838
Sant_Marti,78,342,22.807017543859647,336,2505,13.41317365269461,38.25315014270365,242.12624872171415,15.798844753370627
