districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1283,3492,36.741122565864835,5263,19310,27.255308130502332,505.35592508027764,1873.8301855182842,26.96914208052961
Ciutat_Vella,248,517,47.969052224371374,498,1447,34.41603317208017,44.22249221632781,109.24794119097878,40.47901656931134
Eixample,129,140,92.14285714285714,1327,2159,61.463640574339976,132.94821361633356,207.55438362316366,64.0546401841913
Sants_Montjuic,92,490,18.775510204081634,276,2907,9.494324045407637,25.570773907437335,284.6973812855034,8.981738360913887
Les_Corts,98,231,42.42424242424242,366,1227,29.82885085574572,36.8629703833253,117.14190588320041,31.46864489304156
Sarria_Sant_Gervasi,189,548,34.48905109489051,701,2654,26.412961567445365,61.932354843294,286.6812608650586,21.60321000975563
Gracia,290,337,86.05341246290801,1039,1288,80.66770186335404,85.82822325820156,108.13260029331913,79.37312431716708
Horta_Guinardo,115,444,25.900900900900904,377,2233,16.883116883116884,38.19152059703022,228.96481789601998,16.68008253319258
Nou_Barris,48,336,14.285714285714285,179,1603,11.166562694946974,23.282605639828137,162.43614420741625,14.33338974735719
Sant_Andreu,111,308,36.038961038961034,344,1543,22.294232015554115,34.89003615227457,142.16588776340268,24.541777708545496
Sant_Marti,175,342,51.16959064327485,688,2505,27.46506986027944,73.55130703078586,242.12624872171415,30.37725460130573
