districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,2081,3492,59.59335624284078,8687,19310,44.98705334023822,825.8860781584268,1873.8301855182842,44.074755788502486
Ciutat_Vella,397,517,76.78916827852998,868,1447,59.98617829993089,69.38763395543626,109.24794119097878,63.51390534137222
Eixample,139,140,99.28571428571429,1794,2159,83.09402501157943,178.31694205720027,207.55438362316366,85.91335867950302
Sants_Montjuic,247,490,50.40816326530613,842,2907,28.964568283453733,86.2673515763039,284.6973812855034,30.301420823324083
Les_Corts,151,231,65.36796536796537,626,1227,51.01874490627547,60.640493675588594,117.14190588320041,51.76669546084719
Sarria_Sant_Gervasi,330,548,60.21897810218978,1226,2654,46.19442351168048,108.45270739345821,286.6812608650586,37.830413842259155
Gracia,332,337,98.51632047477746,1210,1288,93.94409937888199,101.82946177092323,108.13260029331913,94.17091746124842
Horta_Guinardo,239,444,53.82882882882883,724,2233,32.42274966412897,70.74842470324025,228.96481789601998,30.899255769228834
Nou_Barris,81,336,24.107142857142858,244,1603,15.221459762944479,28.251717951307185,162.43614420741625,17.39250712281886
Sant_Andreu,128,308,41.55844155844156,406,1543,26.312378483473754,40.472670693153006,142.16588776340268,28.468623050073028
Sant_Marti,251,342,73.39181286549707,1310,2505,52.29540918163673,135.22004611709903,242.12624872171415,55.84691739577278
